epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.754,1.57509,2.13044,1.61169,0.3922,0.6958,0.4462,0.23707,1.49468,1.57321,1.5926,0.000555521,0.000555521,0.000555521
2,1262.84,1.56369,1.7388,1.62567,0.40369,0.72635,0.4871,0.26912,1.50385,1.46745,1.59053,0.000891172,0.000891172,0.000891172
3,1875.02,1.50176,1.63384,1.58103,0.45171,0.76435,0.53029,0.31507,1.35253,1.31604,1.48781,0.00100678,0.00100678,0.00100678
4,2498.22,1.42819,1.51396,1.52874,0.48446,0.77264,0.56241,0.34222,1.29642,1.20522,1.42918,0.000676802,0.000676802,0.000676802
5,3121.05,1.3566,1.40405,1.47592,0.49714,0.79889,0.58374,0.36166,1.26664,1.14428,1.40284,0.000346736,0.000346736,0.000346736
