epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3375,1.56923,2.45802,1.6414,0.50357,0.4424,0.42582,0.18311,2.00406,1.90174,2.09304,0.00055473,0.00055473,0.00055473
2,182.448,1.65164,1.86882,1.72235,0.50155,0.55062,0.49165,0.22714,1.71268,1.7764,1.89703,0.000890538,0.000890538,0.000890538
3,273.453,1.59005,1.66358,1.67987,0.71843,0.64374,0.6818,0.32626,1.59781,1.30227,1.74609,0.0010063,0.0010063,0.0010063
4,365.83,1.49531,1.45597,1.60993,0.76958,0.76804,0.8009,0.40415,1.48953,1.02344,1.63363,0.000676802,0.000676802,0.000676802
5,458.535,1.42353,1.2988,1.55107,0.88654,0.79988,0.87743,0.46318,1.40805,0.83794,1.54831,0.000346736,0.000346736,0.000346736
