epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.596,1.55274,1.70974,1.62231,0.73944,0.73303,0.77978,0.40145,1.63173,1.18554,1.80107,0.000666391,0.000666391,0.000666391
2,786.602,1.55452,1.3702,1.64583,0.84667,0.77358,0.86439,0.48032,1.51131,0.95543,1.72959,0.00114453,0.00114453,0.00114453
3,1183.58,1.48251,1.23498,1.59732,0.85482,0.80538,0.87577,0.50567,1.46785,0.93843,1.65241,0.00143409,0.00143409,0.00143409
4,1592.06,1.4255,1.13369,1.54943,0.91295,0.86296,0.93205,0.56324,1.36619,0.75085,1.57534,0.00115143,0.00115143,0.00115143
